parent|child|mi|containment|jaccard|dotproduct|card1|card2|size1|size2
ckan_keywords_federal budget|ckan_keywords_fiscal policy|0.103599146689|1.0|1.0|0.28|2|2|2064|2064
ckan_keywords_public finance|ckan_keywords_fiscal policy|0.103599146689|1.0|1.0|0.28|2|2|2064|2064
ckan_keywords_tax policy|ckan_keywords_fiscal policy|0.103599146689|1.0|1.0|0.28|2|2|2064|2064
ckan_keywords_taxation policy|ckan_keywords_fiscal policy|0.103599146689|1.0|1.0|0.28|2|2|2064|2064
ckan_keywords_fish|ckan_keywords_british columbia|0.00603370772761|1.0|0.00434782608695652|0.00591715976331|2|6|2064|2064
ckan_keywords_fish farming|ckan_keywords_british columbia|0.0157963820015|1.0|0.0130434782608696|0.046875|2|6|2064|2064
ckan_keywords_fisheries and oceans canada|ckan_keywords_british columbia|0.0157963820015|1.0|0.0130434782608696|0.046875|2|6|2064|2064
ckan_keywords_flood|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_appeal|ckan_keywords_full parole|0.0202568283567|1.0|0.4|0.0177777777778|3|2|2064|2064
ckan_keywords_appeal decisions|ckan_keywords_full parole|0.0202568283567|1.0|0.4|0.0177777777778|3|2|2064|2064
ckan_keywords_day parole|ckan_keywords_full parole|0.0489314158778|1.0|1.0|0.0313832199546|3|3|2064|2064
ckan_keywords_detention|ckan_keywords_full parole|0.0489314158778|1.0|1.0|0.0313832199546|3|3|2064|2064
ckan_keywords_escorted temporary absence|ckan_keywords_full parole|0.0489314158778|1.0|1.0|0.0313832199546|3|3|2064|2064
ckan_keywords_long term supervision|ckan_keywords_full parole|0.0489314158778|1.0|1.0|0.0313832199546|3|3|2064|2064
ckan_keywords_one chance statutory release|ckan_keywords_full parole|0.0489314158778|1.0|1.0|0.0313832199546|3|3|2064|2064
ckan_keywords_revocation|ckan_keywords_full parole|0.0489314158778|1.0|1.0|0.0313832199546|3|3|2064|2064
ckan_keywords_suspension|ckan_keywords_full parole|0.0489314158778|1.0|1.0|0.0313832199546|3|3|2064|2064
ckan_keywords_unescorted temporary absence|ckan_keywords_full parole|0.0489314158778|1.0|1.0|0.0313832199546|3|3|2064|2064
ckan_keywords_full parole|ckan_subject_law|0.0489314158778|1.0|0.416666666666667|0.0313832199546|3|5|2064|2064
ckan_keywords_general status|ckan_keywords_nature|0.0110980843898|1.0|0.166666666666667|0.00554016620499|2|5|2064|2064
ckan_keywords_geological|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_american economy|ckan_keywords_gross domestic product|0.0286827349426|1.0|0.75|0.0123966942149|3|2|2064|2064
